analysis_id,customer_id,churn_probability,risk_level,analysis_date
104,104,45.77,Medium,2026-09-07
105,105,23.00,Low,2026-09-07
106,106,52.28,Medium,2026-09-07
107,107,54.69,Medium,2026-09-07
108,108,1.00,Low,2026-09-07
109,109,74.75,High,2026-09-07
110,110,66.41,Medium,2026-09-07
111,111,58.16,Medium,2026-09-07
112,112,43.32,Medium,2026-09-07
113,113,4.85,Low,2026-09-07
114,114,99.00,High,2026-09-07
115,115,39.35,Medium,2026-09-07
116,116,52.34,Medium,2026-09-07
117,117,78.62,High,2026-09-07
118,118,16.12,Low,2026-09-07
119,119,18.65,Low,2026-09-07
120,120,54.24,Medium,2026-09-07
121,121,33.01,Medium,2026-09-07
122,122,1.00,Low,2026-09-07
123,123,46.40,Medium,2026-09-07
124,124,10.27,Low,2026-09-07
125,125,72.25,High,2026-09-07
126,126,55.21,Medium,2026-09-07
127,127,99.00,High,2026-09-07
128,128,1.00,Low,2026-09-07
129,129,58.42,Medium,2026-09-07
130,130,59.64,Medium,2026-09-07
131,131,1.00,Low,2026-09-07
132,132,3.87,Low,2026-09-07
133,133,8.54,Low,2026-09-07
134,134,35.37,Medium,2026-09-07
135,135,1.88,Low,2026-09-07
136,136,19.01,Low,2026-09-07
137,137,83.34,High,2026-09-07
138,138,57.44,Medium,2026-09-07
139,139,23.28,Low,2026-09-07
140,140,39.38,Medium,2026-09-07
141,141,3.16,Low,2026-09-07
142,142,84.59,High,2026-09-07
143,143,47.49,Medium,2026-09-07
144,144,1.00,Low,2026-09-07
145,145,45.66,Medium,2026-09-07
146,146,1.00,Low,2026-09-07
147,147,99.00,High,2026-09-07
148,148,14.27,Low,2026-09-07
149,149,82.29,High,2026-09-07
150,150,81.97,High,2026-09-07
151,151,51.92,Medium,2026-09-07
152,152,1.00,Low,2026-09-07
153,153,53.02,Medium,2026-09-07
154,154,54.58,Medium,2026-09-07
155,155,29.91,Low,2026-09-07
156,156,69.60,Medium,2026-09-07
157,157,27.65,Low,2026-09-07
158,158,58.10,Medium,2026-09-07
159,159,32.00,Medium,2026-09-07
160,160,1.00,Low,2026-09-07
161,161,1.00,Low,2026-09-07
162,162,10.75,Low,2026-09-07
163,163,53.95,Medium,2026-09-07
164,164,79.87,High,2026-09-07
165,165,4.80,Low,2026-09-07
166,166,82.42,High,2026-09-07
167,167,41.57,Medium,2026-09-07
168,168,96.54,High,2026-09-07
169,169,22.96,Low,2026-09-07
170,170,70.67,High,2026-09-07
171,171,44.14,Medium,2026-09-07
172,172,96.59,High,2026-09-07
173,173,48.32,Medium,2026-09-07
174,174,39.83,Medium,2026-09-07
175,175,1.00,Low,2026-09-07
176,176,29.44,Low,2026-09-07
177,177,1.00,Low,2026-09-07
178,178,45.84,Medium,2026-09-07
179,179,1.00,Low,2026-09-07
180,180,1.00,Low,2026-09-07
181,181,37.41,Medium,2026-09-07
182,182,24.51,Low,2026-09-07
183,183,21.56,Low,2026-09-07
184,184,53.62,Medium,2026-09-07
185,185,78.31,High,2026-09-07
186,186,94.27,High,2026-09-07
187,187,38.74,Medium,2026-09-07
188,188,1.00,Low,2026-09-07
189,189,46.44,Medium,2026-09-07
190,190,7.04,Low,2026-09-07
191,191,73.76,High,2026-09-07
192,192,1.00,Low,2026-09-07
193,193,38.08,Medium,2026-09-07
194,194,60.04,Medium,2026-09-07
195,195,99.00,High,2026-09-07
196,196,65.81,Medium,2026-09-07
197,197,75.91,High,2026-09-07
198,198,24.38,Low,2026-09-07
199,199,26.93,Low,2026-09-07
200,200,26.45,Low,2026-09-07
201,201,1.00,Low,2026-09-07
202,202,33.49,Medium,2026-09-07
203,203,87.92,High,2026-09-07
204,204,36.58,Medium,2026-09-07
205,205,66.58,Medium,2026-09-07
206,206,72.74,High,2026-09-07
207,207,1.00,Low,2026-09-07
208,208,33.40,Medium,2026-09-07
209,209,17.55,Low,2026-09-07
210,210,5.16,Low,2026-09-07
211,211,20.22,Low,2026-09-07
212,212,50.01,Medium,2026-09-07
213,213,50.60,Medium,2026-09-07
214,214,41.92,Medium,2026-09-07
215,215,70.53,High,2026-09-07
216,216,45.91,Medium,2026-09-07
217,217,23.09,Low,2026-09-07
218,218,1.00,Low,2026-09-07
219,219,85.60,High,2026-09-07
220,220,27.49,Low,2026-09-07
221,221,36.35,Medium,2026-09-07
222,222,32.81,Medium,2026-09-07
223,223,68.57,Medium,2026-09-07
224,224,3.17,Low,2026-09-07
225,225,81.33,High,2026-09-07
226,226,35.26,Medium,2026-09-07
227,227,44.21,Medium,2026-09-07
228,228,83.64,High,2026-09-07
229,229,99.00,High,2026-09-07
230,230,16.20,Low,2026-09-07
231,231,99.00,High,2026-09-07
232,232,75.57,High,2026-09-07
233,233,13.11,Low,2026-09-07
234,234,15.97,Low,2026-09-07
235,235,52.51,Medium,2026-09-07
236,236,95.90,High,2026-09-07
237,237,1.00,Low,2026-09-07
238,238,50.20,Medium,2026-09-07
239,239,70.03,High,2026-09-07
240,240,68.35,Medium,2026-09-07
241,241,7.55,Low,2026-09-07
242,242,99.00,High,2026-09-07
243,243,44.45,Medium,2026-09-07
244,244,1.00,Low,2026-09-07
245,245,38.60,Medium,2026-09-07
246,246,32.12,Medium,2026-09-07
247,247,64.57,Medium,2026-09-07
248,248,38.21,Medium,2026-09-07
249,249,12.10,Low,2026-09-07
250,250,25.70,Low,2026-09-07
251,251,22.39,Low,2026-09-07
252,252,33.20,Medium,2026-09-07
253,253,12.02,Low,2026-09-07
254,254,52.66,Medium,2026-09-07
255,255,99.00,High,2026-09-07
256,256,29.28,Low,2026-09-07
257,257,48.10,Medium,2026-09-07
258,258,99.00,High,2026-09-07
259,259,6.56,Low,2026-09-07
260,260,58.35,Medium,2026-09-07
261,261,15.25,Low,2026-09-07
262,262,32.72,Medium,2026-09-07
263,263,26.50,Low,2026-09-07
264,264,51.27,Medium,2026-09-07
265,265,48.93,Medium,2026-09-07
266,266,1.00,Low,2026-09-07
267,267,57.60,Medium,2026-09-07
268,268,13.86,Low,2026-09-07
269,269,10.61,Low,2026-09-07
270,270,48.41,Medium,2026-09-07
271,271,65.22,Medium,2026-09-07
272,272,17.50,Low,2026-09-07
273,273,14.64,Low,2026-09-07
274,274,77.60,High,2026-09-07
275,275,13.00,Low,2026-09-07
276,276,5.98,Low,2026-09-07
277,277,65.37,Medium,2026-09-07
278,278,29.37,Low,2026-09-07
279,279,1.73,Low,2026-09-07
280,280,59.63,Medium,2026-09-07
281,281,82.51,High,2026-09-07
282,282,1.00,Low,2026-09-07
283,283,91.01,High,2026-09-07
284,284,99.00,High,2026-09-07
285,285,1.02,Low,2026-09-07
286,286,6.45,Low,2026-09-07
287,287,1.00,Low,2026-09-07
288,288,22.55,Low,2026-09-07
289,289,35.28,Medium,2026-09-07
290,290,1.00,Low,2026-09-07
291,291,1.00,Low,2026-09-07
292,292,40.21,Medium,2026-09-07
293,293,99.00,High,2026-09-07
294,294,27.16,Low,2026-09-07
295,295,97.69,High,2026-09-07
296,296,13.43,Low,2026-09-07
297,297,50.79,Medium,2026-09-07
298,298,12.62,Low,2026-09-07
299,299,69.15,Medium,2026-09-07
300,300,7.29,Low,2026-09-07
301,301,70.57,High,2026-09-07
302,302,17.49,Low,2026-09-07
303,303,11.65,Low,2026-09-07
304,304,1.00,Low,2026-09-07
305,305,76.85,High,2026-09-07
306,306,73.13,High,2026-09-07
307,307,60.15,Medium,2026-09-07
308,308,22.36,Low,2026-09-07
309,309,27.92,Low,2026-09-07
310,310,23.25,Low,2026-09-07
311,311,1.00,Low,2026-09-07
312,312,1.00,Low,2026-09-07
313,313,31.44,Medium,2026-09-07
314,314,61.89,Medium,2026-09-07
315,315,60.00,Medium,2026-09-07
316,316,44.21,Medium,2026-09-07
317,317,1.00,Low,2026-09-07
318,318,39.84,Medium,2026-09-07
319,319,38.33,Medium,2026-09-07
320,320,53.01,Medium,2026-09-07
321,321,6.40,Low,2026-09-07
322,322,40.93,Medium,2026-09-07
323,323,86.68,High,2026-09-07
324,324,1.00,Low,2026-09-07
325,325,34.98,Medium,2026-09-07
326,326,25.50,Low,2026-09-07
327,327,9.47,Low,2026-09-07
328,328,68.82,Medium,2026-09-07
329,329,1.00,Low,2026-09-07
330,330,99.00,High,2026-09-07
331,331,72.65,High,2026-09-07
332,332,8.54,Low,2026-09-07
333,333,23.20,Low,2026-09-07
334,334,23.53,Low,2026-09-07
335,335,11.51,Low,2026-09-07
336,336,63.10,Medium,2026-09-07
337,337,17.32,Low,2026-09-07
338,338,4.18,Low,2026-09-07
339,339,15.03,Low,2026-09-07
340,340,69.92,Medium,2026-09-07
341,341,21.63,Low,2026-09-07
342,342,1.00,Low,2026-09-07
343,343,61.24,Medium,2026-09-07
344,344,43.89,Medium,2026-09-07
345,345,95.06,High,2026-09-07
346,346,12.02,Low,2026-09-07
347,347,1.00,Low,2026-09-07
348,348,8.36,Low,2026-09-07
349,349,62.16,Medium,2026-09-07
350,350,27.44,Low,2026-09-07
351,351,6.50,Low,2026-09-07
352,352,50.65,Medium,2026-09-07
353,353,3.33,Low,2026-09-07
354,354,1.00,Low,2026-09-07
355,355,1.00,Low,2026-09-07
356,356,35.07,Medium,2026-09-07
357,357,18.37,Low,2026-09-07
358,358,81.32,High,2026-09-07
359,359,39.07,Medium,2026-09-07
360,360,80.61,High,2026-09-07
361,361,66.08,Medium,2026-09-07
362,362,77.35,High,2026-09-07
363,363,60.11,Medium,2026-09-07
364,364,1.00,Low,2026-09-07
365,365,11.47,Low,2026-09-07
366,366,47.32,Medium,2026-09-07
367,367,24.58,Low,2026-09-07
368,368,1.00,Low,2026-09-07
369,369,58.13,Medium,2026-09-07
370,370,1.57,Low,2026-09-07
371,371,81.40,High,2026-09-07
372,372,8.82,Low,2026-09-07
373,373,64.50,Medium,2026-09-07
374,374,72.71,High,2026-09-07
375,375,53.99,Medium,2026-09-07
376,376,26.32,Low,2026-09-07
377,377,1.00,Low,2026-09-07
378,378,26.40,Low,2026-09-07
379,379,97.89,High,2026-09-07
380,380,74.28,High,2026-09-07
381,381,25.81,Low,2026-09-07
382,382,62.91,Medium,2026-09-07
383,383,1.00,Low,2026-09-07
384,384,73.38,High,2026-09-07
385,385,41.16,Medium,2026-09-07
386,386,22.03,Low,2026-09-07
387,387,95.17,High,2026-09-07
388,388,18.22,Low,2026-09-07
389,389,60.94,Medium,2026-09-07
390,390,66.88,Medium,2026-09-07
391,391,59.51,Medium,2026-09-07
392,392,16.75,Low,2026-09-07
393,393,1.00,Low,2026-09-07
394,394,1.00,Low,2026-09-07
395,395,61.34,Medium,2026-09-07
396,396,69.02,Medium,2026-09-07
397,397,91.65,High,2026-09-07
398,398,14.04,Low,2026-09-07
399,399,17.66,Low,2026-09-07
400,400,20.31,Low,2026-09-07
401,401,1.81,Low,2026-09-07
402,402,77.84,High,2026-09-07
403,403,1.00,Low,2026-09-07
404,404,88.12,High,2026-09-07
405,405,1.00,Low,2026-09-07
406,406,83.52,High,2026-09-07
407,407,87.81,High,2026-09-07
408,408,66.46,Medium,2026-09-07
409,409,87.09,High,2026-09-07
410,410,74.70,High,2026-09-07
411,411,65.49,Medium,2026-09-07
412,412,38.19,Medium,2026-09-07
413,413,1.00,Low,2026-09-07
414,414,57.89,Medium,2026-09-07
415,415,21.41,Low,2026-09-07
416,416,36.15,Medium,2026-09-07
417,417,19.09,Low,2026-09-07
418,418,72.95,High,2026-09-07
419,419,99.00,High,2026-09-07
420,420,36.45,Medium,2026-09-07
421,421,67.44,Medium,2026-09-07
422,422,30.93,Medium,2026-09-07
423,423,60.50,Medium,2026-09-07
424,424,30.75,Medium,2026-09-07
425,425,1.65,Low,2026-09-07
426,426,89.13,High,2026-09-07
427,427,58.39,Medium,2026-09-07
428,428,37.95,Medium,2026-09-07
429,429,78.18,High,2026-09-07
430,430,38.55,Medium,2026-09-07
431,431,7.59,Low,2026-09-07
432,432,47.37,Medium,2026-09-07
433,433,26.82,Low,2026-09-07
434,434,75.34,High,2026-09-07
435,435,32.61,Medium,2026-09-07
436,436,1.00,Low,2026-09-07
437,437,77.72,High,2026-09-07
438,438,15.24,Low,2026-09-07
439,439,70.83,High,2026-09-07
440,440,37.75,Medium,2026-09-07
441,441,63.45,Medium,2026-09-07
442,442,72.22,High,2026-09-07
443,443,3.14,Low,2026-09-07
444,444,38.99,Medium,2026-09-07
445,445,22.60,Low,2026-09-07
446,446,4.48,Low,2026-09-07
447,447,14.02,Low,2026-09-07
448,448,66.50,Medium,2026-09-07
449,449,8.75,Low,2026-09-07
450,450,99.00,High,2026-09-07
451,451,12.43,Low,2026-09-07
452,452,99.00,High,2026-09-07
453,453,46.93,Medium,2026-09-07
454,454,44.09,Medium,2026-09-07
455,455,84.75,High,2026-09-07
456,456,70.84,High,2026-09-07
457,457,62.18,Medium,2026-09-07
458,458,1.00,Low,2026-09-07
459,459,42.85,Medium,2026-09-07
460,460,63.38,Medium,2026-09-07
461,461,99.00,High,2026-09-07
462,462,40.24,Medium,2026-09-07
463,463,4.28,Low,2026-09-07
464,464,57.13,Medium,2026-09-07
465,465,99.00,High,2026-09-07
466,466,75.32,High,2026-09-07
467,467,59.22,Medium,2026-09-07
468,468,20.42,Low,2026-09-07
469,469,34.09,Medium,2026-09-07
470,470,81.17,High,2026-09-07
471,471,1.00,Low,2026-09-07
472,472,94.10,High,2026-09-07
473,473,32.99,Medium,2026-09-07
474,474,94.54,High,2026-09-07
475,475,78.07,High,2026-09-07
476,476,15.43,Low,2026-09-07
477,477,47.56,Medium,2026-09-07
478,478,21.05,Low,2026-09-07
479,479,51.74,Medium,2026-09-07
480,480,8.15,Low,2026-09-07
481,481,26.53,Low,2026-09-07
482,482,47.26,Medium,2026-09-07
483,483,56.81,Medium,2026-09-07
484,484,27.79,Low,2026-09-07
485,485,67.70,Medium,2026-09-07
486,486,61.27,Medium,2026-09-07
487,487,99.00,High,2026-09-07
488,488,62.45,Medium,2026-09-07
489,489,35.99,Medium,2026-09-07
490,490,31.51,Medium,2026-09-07
491,491,68.56,Medium,2026-09-07
492,492,57.21,Medium,2026-09-07
493,493,12.39,Low,2026-09-07
494,494,70.88,High,2026-09-07
495,495,56.00,Medium,2026-09-07
496,496,83.62,High,2026-09-07
497,497,51.13,Medium,2026-09-07
498,498,38.18,Medium,2026-09-07
499,499,71.78,High,2026-09-07
500,500,62.27,Medium,2026-09-07
501,501,99.00,High,2026-09-07
502,502,76.72,High,2026-09-07
503,503,1.00,Low,2026-09-07
504,504,52.85,Medium,2026-09-07
505,505,1.00,Low,2026-09-07
506,506,7.45,Low,2026-09-07
507,507,84.63,High,2026-09-07
508,508,78.08,High,2026-09-07
509,509,78.35,High,2026-09-07
510,510,61.34,Medium,2026-09-07
511,511,9.61,Low,2026-09-07
512,512,28.82,Low,2026-09-07
513,513,16.02,Low,2026-09-07
514,514,53.18,Medium,2026-09-07
515,515,12.46,Low,2026-09-07
516,516,75.11,High,2026-09-07
517,517,39.03,Medium,2026-09-07
518,518,40.01,Medium,2026-09-07
519,519,44.75,Medium,2026-09-07
520,520,36.64,Medium,2026-09-07
521,521,50.22,Medium,2026-09-07
522,522,33.97,Medium,2026-09-07
523,523,32.66,Medium,2026-09-07
524,524,44.09,Medium,2026-09-07
525,525,83.79,High,2026-09-07
526,526,49.05,Medium,2026-09-07
527,527,47.20,Medium,2026-09-07
528,528,55.39,Medium,2026-09-07
529,529,89.23,High,2026-09-07
530,530,2.47,Low,2026-09-07
531,531,4.51,Low,2026-09-07
532,532,2.03,Low,2026-09-07
533,533,44.18,Medium,2026-09-07
534,534,45.02,Medium,2026-09-07
535,535,43.83,Medium,2026-09-07
536,536,7.18,Low,2026-09-07
537,537,90.62,High,2026-09-07
538,538,9.23,Low,2026-09-07
539,539,86.47,High,2026-09-07
540,540,3.09,Low,2026-09-07
541,541,41.29,Medium,2026-09-07
542,542,4.14,Low,2026-09-07
543,543,57.86,Medium,2026-09-07
544,544,50.44,Medium,2026-09-07
545,545,30.04,Medium,2026-09-07
546,546,7.65,Low,2026-09-07
547,547,6.57,Low,2026-09-07
548,548,38.47,Medium,2026-09-07
549,549,88.58,High,2026-09-07
550,550,3.55,Low,2026-09-07
551,551,2.92,Low,2026-09-07
552,552,86.55,High,2026-09-07
553,553,2.42,Low,2026-09-07
554,554,86.13,High,2026-09-07
555,555,5.32,Low,2026-09-07
556,556,87.21,High,2026-09-07
557,557,83.58,High,2026-09-07
558,558,7.81,Low,2026-09-07
559,559,35.64,Medium,2026-09-07
560,560,5.30,Low,2026-09-07
561,561,3.27,Low,2026-09-07
562,562,4.10,Low,2026-09-07
563,563,50.08,Medium,2026-09-07
564,564,28.73,Medium,2026-09-07
565,565,5.84,Low,2026-09-07
566,566,7.18,Low,2026-09-07
567,567,7.95,Low,2026-09-07
568,568,53.20,Medium,2026-09-07
569,569,38.08,Medium,2026-09-07
570,570,88.85,High,2026-09-07
571,571,9.53,Low,2026-09-07
572,572,5.36,Low,2026-09-07
573,573,8.43,Low,2026-09-07
574,574,85.58,High,2026-09-07
575,575,50.63,Medium,2026-09-07
576,576,48.98,Medium,2026-09-07
577,577,45.27,Medium,2026-09-07
578,578,91.69,High,2026-09-07
579,579,42.71,Medium,2026-09-07
580,580,4.70,Low,2026-09-07
581,581,50.51,Medium,2026-09-07
582,582,35.75,Medium,2026-09-07
583,583,7.55,Low,2026-09-07
584,584,35.30,Medium,2026-09-07
585,585,37.20,Medium,2026-09-07
586,586,92.49,High,2026-09-07
587,587,7.34,Low,2026-09-07
588,588,41.21,Medium,2026-09-07
589,589,8.86,Low,2026-09-07
590,590,9.91,Low,2026-09-07
591,591,46.29,Medium,2026-09-07
592,592,28.08,Medium,2026-09-07
593,593,48.62,Medium,2026-09-07
594,594,4.66,Low,2026-09-07
595,595,91.99,High,2026-09-07
596,596,34.87,Medium,2026-09-07
597,597,4.78,Low,2026-09-07
598,598,3.61,Low,2026-09-07
599,599,80.32,High,2026-09-07
600,600,9.56,Low,2026-09-07
601,601,78.58,High,2026-09-07
602,602,3.13,Low,2026-09-07
603,603,44.54,Medium,2026-09-07
604,604,36.02,Medium,2026-09-07
605,605,84.65,High,2026-09-07
606,606,5.18,Low,2026-09-07
607,607,54.09,Medium,2026-09-07
608,608,9.82,Low,2026-09-07
609,609,5.17,Low,2026-09-07
610,610,47.01,Medium,2026-09-07
611,611,3.46,Low,2026-09-07
612,612,8.83,Low,2026-09-07
613,613,83.75,High,2026-09-07
614,614,37.06,Medium,2026-09-07
615,615,85.92,High,2026-09-07
616,616,3.90,Low,2026-09-07
617,617,30.70,Medium,2026-09-07
618,618,52.91,Medium,2026-09-07
619,619,10.60,Low,2026-09-07
620,620,48.17,Medium,2026-09-07
621,621,5.28,Low,2026-09-07
622,622,29.12,Medium,2026-09-07
623,623,91.93,High,2026-09-07
624,624,2.33,Low,2026-09-07
625,625,38.76,Medium,2026-09-07
626,626,2.51,Low,2026-09-07
627,627,5.29,Low,2026-09-07
628,628,80.64,High,2026-09-07
629,629,87.52,High,2026-09-07
630,630,29.82,Medium,2026-09-07
631,631,3.26,Low,2026-09-07
632,632,30.98,Medium,2026-09-07
633,633,10.27,Low,2026-09-07
634,634,30.74,Medium,2026-09-07
635,635,91.40,High,2026-09-07
636,636,3.55,Low,2026-09-07
637,637,57.24,Medium,2026-09-07
638,638,55.65,Medium,2026-09-07
639,639,2.92,Low,2026-09-07
640,640,45.03,Medium,2026-09-07
641,641,90.14,High,2026-09-07
642,642,6.87,Low,2026-09-07
643,643,80.74,High,2026-09-07
644,644,82.60,High,2026-09-07
645,645,89.52,High,2026-09-07
646,646,94.64,High,2026-09-07
647,647,9.46,Low,2026-09-07
648,648,90.91,High,2026-09-07
649,649,87.88,High,2026-09-07
650,650,8.31,Low,2026-09-07
651,651,36.61,Medium,2026-09-07
652,652,47.56,Medium,2026-09-07
653,653,47.38,Medium,2026-09-07
654,654,51.23,Medium,2026-09-07
655,655,4.84,Low,2026-09-07
656,656,30.54,Medium,2026-09-07
657,657,3.80,Low,2026-09-07
658,658,93.42,High,2026-09-07
659,659,9.71,Low,2026-09-07
660,660,93.68,High,2026-09-07
661,661,39.46,Medium,2026-09-07
662,662,7.55,Low,2026-09-07
663,663,10.31,Low,2026-09-07
664,664,11.95,Low,2026-09-07
665,665,42.17,Medium,2026-09-07
666,666,56.21,Medium,2026-09-07
667,667,93.88,High,2026-09-07
668,668,5.53,Low,2026-09-07
669,669,7.08,Low,2026-09-07
670,670,82.82,High,2026-09-07
671,671,3.75,Low,2026-09-07
672,672,51.73,Medium,2026-09-07
673,673,29.43,Medium,2026-09-07
674,674,97.47,High,2026-09-07
675,675,52.67,Medium,2026-09-07
676,676,81.33,High,2026-09-07
677,677,79.15,High,2026-09-07
678,678,51.36,Medium,2026-09-07
679,679,7.74,Low,2026-09-07
680,680,39.61,Medium,2026-09-07
681,681,2.74,Low,2026-09-07
682,682,10.51,Low,2026-09-07
683,683,6.94,Low,2026-09-07
684,684,42.36,Medium,2026-09-07
685,685,7.17,Low,2026-09-07
686,686,37.12,Medium,2026-09-07
687,687,83.49,High,2026-09-07
688,688,90.10,High,2026-09-07
689,689,87.96,High,2026-09-07
690,690,29.80,Medium,2026-09-07
691,691,57.26,Medium,2026-09-07
692,692,32.23,Medium,2026-09-07
693,693,3.90,Low,2026-09-07
694,694,57.00,Medium,2026-09-07
695,695,86.62,High,2026-09-07
696,696,7.53,Low,2026-09-07
697,697,38.17,Medium,2026-09-07
698,698,94.08,High,2026-09-07
699,699,50.18,Medium,2026-09-07
700,700,37.94,Medium,2026-09-07
701,701,33.12,Medium,2026-09-07
702,702,3.91,Low,2026-09-07
703,703,89.22,High,2026-09-07
704,704,54.03,Medium,2026-09-07
705,705,97.46,High,2026-09-07
706,706,9.22,Low,2026-09-07
707,707,9.14,Low,2026-09-07
708,708,8.16,Low,2026-09-07
709,709,87.45,High,2026-09-07
710,710,97.28,High,2026-09-07
711,711,11.34,Low,2026-09-07
712,712,97.66,High,2026-09-07
713,713,49.93,Medium,2026-09-07
714,714,86.11,High,2026-09-07
715,715,83.22,High,2026-09-07
716,716,8.68,Low,2026-09-07
717,717,39.03,Medium,2026-09-07
718,718,52.77,Medium,2026-09-07
719,719,10.29,Low,2026-09-07
720,720,45.49,Medium,2026-09-07
721,721,8.73,Low,2026-09-07
722,722,29.91,Medium,2026-09-07
723,723,86.97,High,2026-09-07
724,724,7.29,Low,2026-09-07
725,725,4.76,Low,2026-09-07
726,726,45.93,Medium,2026-09-07
727,727,82.68,High,2026-09-07
728,728,96.97,High,2026-09-07
729,729,40.49,Medium,2026-09-07
730,730,94.12,High,2026-09-07
731,731,2.79,Low,2026-09-07
732,732,54.21,Medium,2026-09-07
733,733,11.57,Low,2026-09-07
734,734,4.39,Low,2026-09-07
735,735,30.96,Medium,2026-09-07
736,736,3.46,Low,2026-09-07
737,737,53.00,Medium,2026-09-07
738,738,9.33,Low,2026-09-07
739,739,11.45,Low,2026-09-07
740,740,39.20,Medium,2026-09-07
741,741,2.17,Low,2026-09-07
742,742,90.40,High,2026-09-07
743,743,4.26,Low,2026-09-07
744,744,79.65,High,2026-09-07
745,745,45.00,Medium,2026-09-07
746,746,3.44,Low,2026-09-07
747,747,80.80,High,2026-09-07
748,748,46.16,Medium,2026-09-07
749,749,11.41,Low,2026-09-07
750,750,9.12,Low,2026-09-07
751,751,31.07,Medium,2026-09-07
752,752,45.91,Medium,2026-09-07
753,753,81.39,High,2026-09-07
754,754,30.31,Medium,2026-09-07
755,755,37.97,Medium,2026-09-07
756,756,42.37,Medium,2026-09-07
757,757,85.86,High,2026-09-07
758,758,51.93,Medium,2026-09-07
759,759,9.89,Low,2026-09-07
760,760,54.87,Medium,2026-09-07
761,761,11.84,Low,2026-09-07
762,762,9.47,Low,2026-09-07
763,763,97.95,High,2026-09-07
764,764,51.53,Medium,2026-09-07
765,765,31.45,Medium,2026-09-07
766,766,11.58,Low,2026-09-07
767,767,86.59,High,2026-09-07
768,768,87.15,High,2026-09-07
